Time,Sig1,Sig2
0,0,0
0.01,3.088655201,5.875275257
0.02,5.875275257,9.508594605
0.03,8.087360606,9.513513762
0.04,9.508594605,5.88815562
0.05,9.999996829,0.015926529
0.06,9.513513762,-5.862379992
0.07,8.096717883,-9.503651329
0.08,5.88815562,-9.518408788
0.09,3.103799097,-5.901021047
0.1,0.015926529,-0.031853018
0.11,-3.073503471,5.849469856
0.12,-5.862379992,9.498683946
0.13,-8.077982814,9.52327967
0.14,-9.503651329,5.913871505
0.15,-9.999971464,0.047779426
0.16,-9.518408788,-5.836544883
0.17,-8.106054622,-9.49369247
0.18,-5.901021047,-9.528126396
0.19,-3.11893512,-5.926706963
0.2,-0.031853018,-0.063705713
0.21,3.058343944,5.823605105
0.22,5.849469856,9.488676912
0.23,8.068584533,9.532948953
0.24,9.498683946,5.939527388
0.25,9.999920733,0.079631838
0.26,9.52327967,-5.810650556
0.27,8.115370801,-9.483637286
0.28,5.913871505,-9.537747329
0.29,3.134063231,-5.952332747
0.3,0.047779426,-0.095557761
0.31,-3.04317666,5.797681267
0.32,-5.836544883,9.478573604
0.33,-8.059165785,9.542521513
0.34,-9.49369247,5.965123007
0.35,-9.999844637,0.111483442
0.36,-9.528126396,-5.784697273
0.37,-8.124666394,-9.473485879
0.38,-5.926706963,-9.547271491
0.39,-3.149183393,-5.977898137
0.4,-0.063705713,-0.12740884
0.41,3.028001657,5.771698605
0.42,5.823605105,9.468374125
0.43,8.049726595,9.551997253
0.44,9.488676912,5.990658103
0.45,9.999743176,0.143333915
0.46,9.532948953,-5.758685297
0.47,8.133941378,-9.463238353
0.48,5.939527388,-9.556698785
0.49,3.164295567,-6.003402874
0.5,0.079631838,-0.159258626
0.51,-3.012818974,5.745657382
0.52,-5.810650556,9.458078578
0.53,-8.040266987,9.561376077
0.54,-9.483637286,6.016132417
0.55,-9.99961635,0.175182933
0.56,-9.537747329,-5.732614893
0.57,-8.143195731,-9.452894811
0.58,-5.952332747,-9.566029115
0.59,-3.179399714,-6.028846699
0.6,-0.095557761,-0.191106796
0.61,2.997628648,5.719557862
0.62,5.797681267,9.447687067
0.63,8.030786983,9.570657889
0.64,9.478573604,6.04154569
0.65,9.99946416,0.207030174
0.66,9.542521513,-5.706486324
0.67,8.152429428,-9.442455359
0.68,5.965123007,-9.575262386
0.69,3.194495797,-6.054229355
0.7,0.111483442,-0.222953028
0.71,-2.982430718,5.693400311
0.72,-5.784697273,9.437199699
0.73,-8.02128661,9.579842596
0.74,-9.473485879,6.066897664
0.75,-9.999286605,0.238875315
0.76,-9.547271491,-5.680299857
0.77,-8.161642446,-9.431920102
0.78,-5.977898137,-9.584398505
0.79,-3.209583776,-6.079550584
0.8,-0.12740884,-0.254796997
0.81,2.967225224,5.667184994
0.82,5.771698605,9.42661658
0.83,8.01176589,9.588930104
0.84,9.468374125,6.092188083
0.85,9.999083687,0.270718032
0.86,9.551997253,-5.654055756
0.87,8.170834761,-9.421289146
0.88,5.990658103,-9.593437379
0.89,3.224663615,-6.104810128
0.9,0.143333915,-0.286638381
0.91,-2.952012202,5.640912176
0.92,-5.758685297,9.415937816
0.93,-8.002224848,9.597920321
0.94,-9.463238353,6.117416689
0.95,-9.998855406,0.302558002
0.96,-9.556698785,-5.627754288
0.97,-8.180006351,-9.410562601
0.98,-6.003402874,-9.602378917
0.99,-3.239735274,-6.130007732
1,-0.159258626,-0.318476856
1.01,2.936791693,5.614582125
1.02,5.745657382,9.405163516
1.03,7.992663508,9.606813156
1.04,9.458078578,6.142583227
1.05,9.998601762,0.334394902
1.06,9.561376077,-5.60139572
1.07,8.189157192,-9.399740575
1.08,6.016132417,-9.611223026
1.09,3.254798715,-6.15514314
1.1,0.175182933,-0.3503121
1.11,-2.921563735,5.588195107
1.12,-5.732614893,9.39429379
1.13,-7.983081894,9.615608518
1.14,-9.452894811,6.167687441
1.15,-9.998322756,0.36622841
1.16,-9.566029115,-5.57498032
1.17,-8.198287261,-9.388823177
1.18,-6.028846699,-9.619969619
1.19,-3.2698539,-6.180216097
1.2,-0.191106796,-0.38214379
1.21,2.906328366,5.561751391
1.22,5.719557862,9.383328748
1.23,7.97348003,9.624306319
1.24,9.447687067,6.192729076
1.25,9.998018389,0.398058202
1.26,9.570657889,-5.548508354
1.27,8.207396534,-9.377810519
1.28,6.04154569,-9.628618606
1.29,3.284900791,-6.205226348
1.3,0.207030174,-0.413971603
1.31,-2.891085625,5.535251244
1.32,-5.706486324,9.372268502
1.33,-7.963857942,9.63290647
1.34,-9.442455359,6.217707879
1.35,-9.997688662,0.429883955
1.36,-9.575262386,-5.521980093
1.37,-8.216484989,-9.366702711
1.38,-6.054229355,-9.637169899
1.39,-3.29993935,-6.23017364
1.4,-0.222953028,-0.445795216
1.41,2.875835551,5.508694935
1.42,5.693400311,9.361113162
1.43,7.954215653,9.641408884
1.44,9.437199699,6.242623597
1.45,9.997333575,0.461705346
1.46,9.579842596,-5.495395804
1.47,8.225552602,-9.355499868
1.48,6.066897664,-9.645623412
1.49,3.314969539,-6.255057719
1.5,0.238875315,-0.477614305
1.51,-2.860578182,5.482082734
1.52,-5.680299857,9.349862843
1.53,-7.944553188,9.649813474
1.54,-9.431920102,6.267475975
1.55,-9.99695313,0.493522053
1.56,-9.584398505,-5.468755759
1.57,-8.234599351,-9.344202102
1.58,-6.079550584,-9.653979059
1.59,-3.329991318,-6.279878334
1.6,-0.254796997,-0.509428548
1.61,2.845313557,5.455414911
1.62,5.667184994,9.338517659
1.63,7.934870571,9.658120156
1.64,9.42661658,6.292264763
1.65,9.996547326,0.525333752
1.66,9.588930104,-5.442060226
1.67,8.243625213,-9.332809528
1.68,6.092188083,-9.662236755
1.69,3.345004651,-6.304635231
1.7,0.270718032,-0.541237623
1.71,-2.830041714,5.428691737
1.72,-5.654055756,9.327077724
1.73,-7.925167826,9.666328845
1.74,-9.421289146,6.316989708
1.75,-9.996116166,0.557140121
1.76,-9.593437379,-5.415309477
1.77,-8.252630164,-9.321322262
1.78,-6.104810128,-9.670396416
1.79,-3.3600095,-6.329328161
1.8,-0.286638381,-0.573041206
1.81,2.814762693,5.401913482
1.82,5.640912176,9.315543155
1.83,7.91544498,9.674439457
1.84,9.415937816,6.34165056
1.85,9.995659651,0.588940838
1.86,9.597920321,-5.388503784
1.87,8.261614182,-9.30974042
1.88,6.117416689,-9.678457959
1.89,3.375005825,-6.353956873
1.9,0.302558002,-0.604838975
1.91,-2.799476533,5.375080418
1.92,-5.627754288,9.303914069
1.93,-7.905702055,9.682451911
1.94,-9.410562601,6.366247068
1.95,-9.995177781,0.620735578
1.96,-9.602378917,-5.361643418
1.97,-8.270577244,-9.298064119
1.98,-6.130007732,-9.686421303
1.99,-3.38999359,-6.378521116
